ETA,PHI,PT
0.838526, 3.98878, 7.85444
0.830166, 3.91819, 1.1796
0.864938, 3.92932, 6.82408
0.94, 3.95803, 4.3292
0.93829, 3.91715, 2.51406
0.905496, 3.91761, 0.882743
0.918746, 3.93976, 5.65066
@@@,@@@,@@@
0.895491, 1.08288, 109.724
0.706373, 1.10652, 0.133294
1.08416, 1.37377, 0.0423413
1.38169, 0.839296, 0.477442
0.802987, 1.20595, 1.31091
0.909704, 1.22787, 5.56088
0.861999, 1.15856, 1.47653
0.93879, 1.13796, 4.3047
0.891152, 1.13673, 9.30196
0.953088, 1.06493, 2.46106
0.910846, 1.07046, 16.5049
0.91679, 1.07323, 6.62084
0.87833, 1.07952, 26.6722
0.896528, 1.02874, 5.55686
0.877742, 1.04854, 29.4361
@@@,@@@,@@@
-1.67317, 0.776256, 109.713
-1.38035, 1.03207, 3.39709
-1.75228, 1.12121, 0.394937
-1.32742, 0.607839, 0.0123572
-1.47487, 1.01258, 0.190219
-1.47369, 1.01379, 0.648541
-1.67188, 1.06864, 6.15065
-1.48125, 0.996037, 2.48992
-1.46408, 0.997089, 0.165996
-1.6681, 1.02659, 1.66152
-1.42575, 0.838744, 5.76747
-1.56741, 0.971908, 2.84243
-1.57877, 0.943103, 2.78148
-1.50564, 0.893012, 0.110879
-1.54172, 0.915798, 7.14856
-1.53122, 0.911458, 2.03982
-1.83074, 0.909174, 1.35507
-1.72997, 0.941874, 0.653734
-1.72333, 0.939789, 1.59352
-1.53398, 0.857888, 6.79973
-1.90729, 0.836983, 0.655519
-1.58712, 0.883444, 0.770321
-1.53355, 0.817813, 3.69553
-1.61041, 0.858515, 1.9354
-1.58804, 0.844132, 0.416102
-1.82476, 0.839952, 0.550239
-1.62936, 0.820194, 0.371157
-1.63005, 0.815044, 1.02071
-1.64964, 0.824335, 0.823606
-1.55067, 0.715167, 1.02377
-1.69963, 0.811181, 3.67419
-1.68835, 0.816644, 3.07046
-1.69351, 0.429907, 0.450277
-1.78847, 0.437594, 3.2977
-1.66155, 0.52493, 1.64645
-1.75978, 0.493677, 5.9783
-1.7695, 0.504755, 1.54896
-1.7401, 0.555521, 6.60362
-1.77644, 0.544963, 1.77061
-1.77497, 0.757833, 0.59575
-1.74722, 0.651902, 18.645
-1.76349, 0.690174, 6.71906
@@@,@@@,@@@
-1.29505, 3.80905, 108.395
-1.1281, 4.15579, 3.46936
-1.07795, 4.10402, 6.04929
-1.1097, 4.11036, 0.941215
-0.978759, 3.96232, 0.531935
-1.07771, 3.9933, 1.31586
